arm,model,dimension,spearman,spearman_p,kendall,kendall_p,n,mae,rmse,r2,accuracy,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro,quadratic_weighted_kappa
Arm A (direct Qwen baseline),Qwen3-1.7B,Coherence,0.4032940397207712,9.711235691500197e-27,0.3411662032598629,3.4169197743276857e-26,648,0.5949074074074074,0.7511707825665337,-0.05432758128816073,0.3425925925925926,0.2306846263617695,0.22836940836940833,0.1558501073074597,0.3425925925925926,0.3425925925925926,0.3425925925925926,0.19589632304715032
Arm A (direct Qwen baseline),Qwen3-1.7B,Empathy,0.3886905460269367,8.458101366484777e-25,0.31717404560362195,7.411253816648272e-24,648,0.6350308641975309,0.7843363248680661,-0.14709661248430983,0.49382716049382713,0.24388310125494242,0.26863893606172595,0.2523845554690108,0.49382716049382713,0.49382716049382713,0.49382716049382713,0.3204220649125151
Arm A (direct Qwen baseline),Qwen3-1.7B,Surprise,0.21365785038343935,3.976789963864832e-08,0.1715760229946438,5.2090843507634296e-08,648,0.7481995884773662,0.9082337507235463,-0.685062702702703,0.4506172839506173,0.21743608523723554,0.21472166128983608,0.19998601398601398,0.4506172839506173,0.4506172839506173,0.4506172839506173,0.13146525548711718
Arm A (direct Qwen baseline),Qwen3-1.7B,Engagement,0.37139796425151583,1.2644812018791006e-22,0.3004160025220379,5.213601740263557e-22,648,0.709619341563786,0.8877065825374869,-0.3154802422601881,0.3595679012345679,0.2557896305871955,0.2736655894075711,0.22279263649105047,0.3595679012345679,0.3595679012345679,0.3595679012345679,0.24954015941140417
Arm A (direct Qwen baseline),Qwen3-1.7B,Complexity,0.4390177341085837,6.566671631973031e-32,0.3557140565146819,1.890940454981407e-30,648,0.7296810699588477,0.8957346342413159,-0.3641563625304358,0.3873456790123457,0.4428790065153702,0.3130668339483237,0.24080727429946372,0.3873456790123457,0.3873456790123457,0.3873456790123457,0.306924490124199
Arm A (direct Qwen baseline),Qwen3-1.7B,Relevance,0.25185526346344517,7.82445012129801e-11,0.20611519823210414,1.0421969702765684e-10,648,0.7397119341563786,0.9327066532196602,0.02770525488952802,0.404320987654321,0.28113879003558717,0.2395723078655676,0.2118061511407404,0.404320987654321,0.404320987654321,0.404320987654321,0.20876901673921822
Arm A (direct Qwen baseline),Qwen3-1.7B,Aggregate,0.3446522329924486,,0.28202692152115877,,648,0.6928583676268861,0.8599814546927682,-0.25640304106271156,0.4063786008230452,0.2786352066653501,0.2563391228237388,0.21393778978228983,0.4063786008230452,0.4063786008230452,0.4063786008230452,0.23550288495360064
Arm A (direct Qwen baseline),Qwen3-4B,Coherence,0.3635894608653499,1.10086341517733e-21,0.30993194719163897,2.8498897718176085e-21,648,0.6198559670781892,0.790244010864884,-0.16686501589348368,0.46296296296296297,0.2335739356429012,0.2469467787114846,0.2200270133517887,0.46296296296296297,0.46296296296296297,0.46296296296296297,0.2973631906717902
Arm A (direct Qwen baseline),Qwen3-4B,Empathy,0.467956478155563,1.4235787331042202e-36,0.380911257603606,2.5268088473678415e-34,648,0.5203189300411523,0.659588193012989,0.18877544978724403,0.5108024691358025,0.35319047619047617,0.2791709646002248,0.269275706068162,0.5108024691358025,0.5108024691358025,0.5108024691358025,0.35489220563847435
Arm A (direct Qwen baseline),Qwen3-4B,Surprise,0.302072898434784,3.872215098682738e-15,0.24151013568314622,6.1135302004451445e-15,648,0.5707304526748971,0.7161724298278606,-0.047745945945945945,0.5416666666666666,0.31896365639293245,0.2897434747768156,0.28685224090424144,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.28805433479824205
Arm A (direct Qwen baseline),Qwen3-4B,Engagement,0.45097980836618473,8.781334056175632e-34,0.3635720549477933,1.8829141056950407e-32,648,0.565329218106996,0.7259519080762211,0.12024620038368317,0.49382716049382713,0.380899633043058,0.30267257233756834,0.313787389033331,0.49382716049382713,0.49382716049382713,0.49382716049382713,0.40009985853374386
Arm A (direct Qwen baseline),Qwen3-4B,Complexity,0.43987299579941824,4.8510257088989537e-32,0.3530929297065406,6.626824281377514e-31,648,0.5390946502057614,0.6907308111688246,0.18880908719539724,0.5123456790123457,0.4335686274509804,0.3152011369155383,0.33287382984256836,0.5123456790123457,0.5123456790123457,0.5123456790123457,0.41843286158094584
Arm A (direct Qwen baseline),Qwen3-4B,Relevance,0.30375985836390185,2.6777318868374774e-15,0.24812619074064562,5.941283032539796e-15,648,0.7831790123456789,0.9764239013443896,-0.06557639824588612,0.37191358024691357,0.3172815524271675,0.25144343586271345,0.21619612482672404,0.37191358024691357,0.37191358024691357,0.37191358024691357,0.2989545713742635
Arm A (direct Qwen baseline),Qwen3-4B,Aggregate,0.3880385833308669,,0.3161907526455618,,648,0.5997513717421125,0.7598518757158615,0.036273896213501446,0.482253086419753,0.3395796468579193,0.28086306053405746,0.2731687173378026,0.482253086419753,0.482253086419753,0.482253086419753,0.34296617043290994
Arm B (review -> classifier -> MLP),Qwen3-1.7B,Coherence,0.1896531370202392,1.1581960773942318e-06,0.13642130843166858,1.020590088911973e-06,648,0.6791203343737436,0.8338103834957888,-0.2990707115974869,0.37191358024691357,0.16432907596049434,0.22085527544351075,0.16739907713864663,0.37191358024691357,0.37191358024691357,0.37191358024691357,0.08323408990150993
Arm B (review -> classifier -> MLP),Qwen3-1.7B,Empathy,0.20778147813783485,9.428934910279082e-08,0.14832069352262203,1.0403544753438189e-07,648,0.6268180472410918,0.7700421586407491,-0.10566699308729843,0.39197530864197533,0.17805831383214218,0.2212391543443725,0.16876353569286498,0.39197530864197533,0.39197530864197533,0.39197530864197533,0.12760783309868162
Arm B (review -> classifier -> MLP),Qwen3-1.7B,Surprise,0.2830650483569971,2.0973492867717305e-13,0.20227974186909192,5.726460620280346e-13,648,0.6429665748678934,0.761169952542358,-0.18354306448199975,0.42746913580246915,0.16840659340659342,0.21936401543197848,0.18032394269569718,0.42746913580246915,0.42746913580246915,0.42746913580246915,0.12980891719745224
Arm B (review -> classifier -> MLP),Qwen3-1.7B,Engagement,0.21370377779692598,3.949660411584251e-08,0.1513735426372801,5.053975462129402e-08,648,0.6753756911666305,0.8251451161231704,-0.13659598107395032,0.42592592592592593,0.42941680960548884,0.20735810945628103,0.13506636887269308,0.42592592592592593,0.42592592592592593,0.42592592592592593,0.03009954921111957
Arm B (review -> classifier -> MLP),Qwen3-1.7B,Complexity,0.24450058912142555,2.8278118100040755e-10,0.1735493609226866,4.2628981304657306e-10,648,0.6900248645264425,0.8445239419073745,-0.2126329128676816,0.3966049382716049,0.17710843373493976,0.20888863186201512,0.14639620079540677,0.3966049382716049,0.3966049382716049,0.3966049382716049,0.06559011673987414
Arm B (review -> classifier -> MLP),Qwen3-1.7B,Relevance,0.1190322331773055,0.0024052577522039233,0.08449694981166658,0.0021384989687661116,648,0.8285753754145162,1.0087152392239995,-0.13722121568537404,0.3595679012345679,0.1214150206450173,0.1980370516357903,0.11733021077283372,0.3595679012345679,0.3595679012345679,0.3595679012345679,-0.009118236472945851
Arm B (review -> classifier -> MLP),Qwen3-1.7B,Aggregate,0.20962271060178803,,0.14940693286583595,,648,0.6904801479317197,0.8405677986555734,-0.1791218131322985,0.3955761316872428,0.20645570786411263,0.21262370636232472,0.15254655599469039,0.3955761316872428,0.3955761316872428,0.3955761316872428,0.07120371161261528
Arm B (review -> classifier -> MLP),Qwen3-4B,Coherence,0.029852499084420846,0.4480784416344471,0.02142144300286003,0.44279886831917614,648,0.5952900888497938,0.7668073029867737,-0.09867862161655494,0.5138888888888888,0.2416501544689464,0.2027254053136406,0.1684266978694359,0.5138888888888888,0.5138888888888888,0.5138888888888888,0.06124782371436743
Arm B (review -> classifier -> MLP),Qwen3-4B,Empathy,-0.00867101785251415,0.8256328049021944,-0.00658270333621245,0.813363577549715,648,0.5960390435937991,0.756223658738904,-0.06634039162967342,0.48148148148148145,0.16249176166182538,0.19610167420261518,0.1602914030349001,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.02211387776423479
Arm B (review -> classifier -> MLP),Qwen3-4B,Surprise,0.12824089236377306,0.0010690463291062706,0.0930053315363119,0.0009210230649354328,648,0.5428028734623159,0.7033973736608375,-0.010700027727680084,0.5879629629629629,0.11795665634674923,0.1989556135770235,0.14810495626822157,0.5879629629629629,0.5879629629629629,0.5879629629629629,-0.001605465414175944
Arm B (review -> classifier -> MLP),Qwen3-4B,Engagement,0.07254182511552056,0.06496774342229103,0.051890624295368795,0.06175558800974315,648,0.6242699902734639,0.7906104368983018,-0.04344733802388823,0.42901234567901236,0.1668269230769231,0.21481078222457262,0.1854181970337998,0.42901234567901236,0.42901234567901236,0.42901234567901236,0.021009085009733863
Arm B (review -> classifier -> MLP),Qwen3-4B,Complexity,0.12678156853311642,0.0012200108102560499,0.09039857460572012,0.0011442467739099667,648,0.6074427369322796,0.7754351390996328,-0.022342402417784957,0.44135802469135804,0.17459036757485774,0.20954501424089522,0.18386111355550808,0.44135802469135804,0.44135802469135804,0.44135802469135804,0.049090551411359984
Arm B (review -> classifier -> MLP),Qwen3-4B,Relevance,-0.009076074238993426,0.8176272712715771,-0.006579881762768423,0.8110382566323221,648,0.7763422661357455,0.9750629751639888,-0.06260809687279956,0.33487654320987653,0.13274588271509927,0.19118249901458415,0.1565901700517085,0.33487654320987653,0.33487654320987653,0.33487654320987653,-0.025190769513652622
Arm B (review -> classifier -> MLP),Qwen3-4B,Aggregate,0.05661161550088722,,0.04059223139021333,,648,0.6236978332078996,0.7945894810914065,-0.05068614638139687,0.4647633744855966,0.1660436243074002,0.20222016476222185,0.16711542296892898,0.4647633744855966,0.4647633744855966,0.4647633744855966,0.02111085049531125
